用户编号,文章类别,阅读数,看一看,点赞,赞赏,被转载,访问日期
77,Python,10028,401,1002,80,200,2020/9/18
77,sql,9476,379,852,85,379,2020/9/18
77,数据分析,9967,598,897,19,299,2020/9/18
78,Python,4593,321,505,4,183,2020/9/24
78,sql,4322,259,518,21,172,2020/9/24
78,数据分析,4675,233,654,32,187,2020/9/24
79,Python,13962,558,1535,27,418,2020/9/8
79,sql,14407,576,1872,14,576,2020/9/8
80,Python,7782,466,1089,15,233,2020/9/2
80,sql,8165,571,1143,65,326,2020/9/2
81,Python,6423,385,834,19,128,2020/9/9
81,sql,5965,417,536,53,119,2020/9/9
82,数据分析,8181,572,981,8,163,2020/9/26
82,pandas,7534,527,904,45,226,2020/9/26
83,数据分析,10840,542,1517,65,216,2020/9/16
83,pandas,10972,548,1206,43,219,2020/9/16
84,数据分析,18416,736,2394,147,552,2020/9/16
84,pandas,18294,1097,1646,54,365,2020/9/16
85,数据分析,16204,972,2106,48,648,2020/9/25
85,pandas,16666,666,1833,99,499,2020/9/25
86,数据分析,12014,840,1321,48,240,2020/9/20
86,pandas,12700,635,1524,76,508,2020/9/20
87,数据分析,3883,232,349,11,155,2020/9/14
87,pandas,3234,226,420,9,97,2020/9/14
88,数据分析,10321,619,1032,61,412,2020/9/7
88,pandas,10360,414,932,72,310,2020/9/7
89,数据分析,10148,405,913,50,405,2020/9/27
89,pandas,9956,696,1294,9,398,2020/9/27
90,数据分析,10166,406,1423,40,304,2020/9/21
90,pandas,10259,512,1025,61,307,2020/9/21
90,matplotlib,9903,495,1386,9,198,2020/9/21
91,数据分析,10456,731,1254,73,209,2020/9/15
91,pandas,10654,532,1385,10,319,2020/9/15
91,matplotlib,10544,421,1370,84,210,2020/9/15
92,数据分析,11248,674,1349,33,337,2020/9/13
92,pandas,10939,765,984,54,218,2020/9/13
92,matplotlib,11620,464,1278,81,348,2020/9/13
93,数据分析,18521,740,1666,55,555,2020/9/22
93,pandas,18567,1114,1856,148,742,2020/9/22
93,matplotlib,18764,750,2251,112,750,2020/9/22
94,数据分析,15761,788,2048,47,630,2020/9/21
94,pandas,15132,1059,1815,45,302,2020/9/21
94,matplotlib,15539,1087,1709,124,310,2020/9/21
95,数据分析,7845,470,706,31,313,2020/9/15
95,pandas,8194,573,1065,57,163,2020/9/15
95,matplotlib,8288,331,911,24,331,2020/9/15
96,数据分析,7472,523,971,22,224,2020/9/29
96,pandas,7699,384,692,69,230,2020/9/29
96,matplotlib,7303,438,1022,51,292,2020/9/29
97,数据分析,4993,199,549,39,99,2020/9/3
97,pandas,4353,261,478,17,174,2020/9/3
97,matplotlib,4431,265,443,17,132,2020/9/3
98,数据分析,7294,364,948,51,291,2020/9/20
98,pandas,7454,521,819,29,223,2020/9/20
98,pandas,7587,379,910,22,151,2020/9/20
99,数据分析,12179,852,1217,48,487,2020/9/23
99,pandas,11715,585,1288,46,351,2020/9/23
99,matplotlib,11542,692,1269,11,230,2020/9/23
